character,pinyin,period,type,complexity,dataset,image_ID,dropdown_label
驳,bo2,Seal,pictosynthetic,387.5374043752961,hzy,S06985,驳 (bo2)
驴,lv2,Seal,pictophonetic,526.8085430157071,hzy,S07074,驴 (lv2)
驹,ju1,Bronze,pictophonetic,330.88529254752257,hzy,B14677,驹 (ju1)
驹,ju1,Seal,pictophonetic,393.66554671688095,hzy,S06963,驹 (ju1)
驻,zhu4,Seal,pictophonetic,375.01194137167823,hzy,S07049,驻 (zhu4)
驾,jia4,Seal,pictophonetic,337.86519556490816,hzy,S07013,驾 (jia4)
骄,jiao1,Bronze,pictophonetic,235.20537134985912,hzy,B14688,骄 (jiao1)
骄,jiao1,Seal,pictophonetic,436.7029107862799,hzy,S06998,骄 (jiao1)
骆,luo4,Bronze,pictophonetic,259.93345006859033,hzy,B14687,骆 (luo4)
骆,luo4,Seal,pictophonetic,401.38276638357786,hzy,S06973,骆 (luo4)
验,yan4,Seal,pictophonetic,467.006802174824,hzy,S07001,验 (yan4)
骏,jun4,Seal,pictophonetic,416.7173673873517,hzy,S06994,骏 (jun4)
骐,qi2,Seal,pictophonetic,423.9771481896868,hzy,S06966,骐 (qi2)
骑,qi2,Seal,pictophonetic,384.6532637472778,hzy,S07012,骑 (qi2)
骚,sao1,Seal,pictophonetic,459.5114581274056,hzy,S07057,骚 (sao1)
骝,liu2,Seal,pictophonetic,496.8260996956352,hzy,S06970,骝 (liu2)
骤,zhou4,Seal,pictophonetic,594.8517889828533,hzy,S07032,骤 (zhou4)
骥,ji4,Seal,pictophonetic,489.63186176326593,hzy,S06993,骥 (ji4)
